Model	Day	Contrast	Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significant_FDR_0_05	Direction
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.177954313057581	0.51045417343323	12.3382491052472	4.08496615785286e-07	1.42741038657648e-05	6.99841107130432	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.127850476628313	0.351678290154978	11.8814904515113	5.70964154630593e-07	1.42741038657648e-05	6.64518836276267	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_PANCREAS_BETA_CELLS	0.0187519313953289	-0.12995154118714	8.53398925616568	7.39065762098128e-06	0.000123177627016355	3.86046274314681	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0335560063801943	0.25452104905361	7.6544646676167	1.89537705488001e-05	0.000236922131860002	2.85573096140165	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.0279199631467448	0.183271681728049	5.87808594683359	0.000165690666599975	0.00165690666599975	0.543587358796701	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_NOTCH_SIGNALING	0.0237903250768868	0.36307140888604	4.96898029455158	0.000589969059772886	0.00491640883144071	-0.804209584178379	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_ANGIOGENESIS	-0.0237587822647155	0.598173167740068	-4.45757242046741	0.00126943323500786	0.00906738025005613	-1.61248854675703	TRUE	Higher_in_denominator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_COAGULATION	0.0163335309376902	0.316966867409803	4.1899558095062	0.00192378877447357	0.0102347575914559	-2.04879735126773	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_COMPLEMENT	0.0122215898333924	0.283259489077443	4.14095580491791	0.00207815304537756	0.0102347575914559	-2.12959770587799	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_MITOTIC_SPINDLE	-0.0456248768524337	0.627926155865716	-4.18598410561005	0.00214409727964875	0.0102347575914559	-2.12836954351134	TRUE	Higher_in_denominator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_G2M_CHECKPOINT	-0.021698123453059	0.651239929398716	-4.08970433581771	0.00225365566837859	0.0102347575914559	-2.21439710289489	TRUE	Higher_in_denominator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_SPERMATOGENESIS	-0.017451533982749	0.0777942349013078	-4.03550294747959	0.00245634182194942	0.0102347575914559	-2.30438734485757	TRUE	Higher_in_denominator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_UV_RESPONSE_UP	0.0251056744832912	0.413394316573386	3.77490034295444	0.00373593403916113	0.0143689770736966	-2.74117703858231	TRUE	Higher_in_numerator
BoMac	Day3	Lineage_5_vs_Control	HALLMARK_MYOGENESIS	-0.0120577733999426	0.255236539198219	-3.67272034733361	0.00441352905681866	0.0157626037743524	-2.91409616803737	TRUE	Higher_in_denominator
