R0168 R0169 R0171 R0187 R0189 R0190 R0318 R0320 R0322 R0330 R0332 R0334 R0420 R0422 R0424 R0426 R0428 R0430
ENSG00000142583 10190 8058 10187 4812 4181 5957 1291 1786 1649 20806 23450 15968 163067 90763 209492 71708 148729 123518
ENSG00000223663 2 0 0 0 0 2 2 0 0 6 2 4 0 6 0 16 10 0
ENSG00000107404 11993 10836 11496 10641 10352 11876 8948 10033 9984 10757 12206 9112 13387 6544 18338 11761 13370 18062
ENSG00000284674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000177000 23627 17207 22323 19587 18881 21931 8718 14012 14213 15073 17915 14970 10432 7154 11975 13164 9823 15092
ENSG00000272161 0 0 0 0 0 0 3 0 4 4 2 2 12 4 10 6 12 12
ENSG00000237094 92 23 78 90 54 46 5 21 33 26 22 23 11 9 39 33 11 12
ENSG00000069424 137070 105742 127590 116365 113298 131734 62165 93093 88897 157076 182930 135357 101907 56608 131222 74994 80273 106127
ENSG00000224338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000074800 288239 295244 255870 169101 163175 194279 232720 227296 211723 343554 372711 249309 677796 715325 919868 364849 808444 814789
ENSG00000234546 38 14 26 84 68 72 39 31 19 108 117 122 70 107 144 93 78 114
ENSG00000116786 31957 22747 30188 28585 27378 31681 16159 24320 24025 26998 31742 24201 36170 34213 48951 40654 33737 57798
ENSG00000287727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000176022 10797 12335 9755 8608 9056 10028 8333 7218 6711 10953 12421 8654 5906 5951 7936 5053 11561 9962
ENSG00000223989 2 0 2 0 4 2 6 4 2 2 15 2 0 2 2 2 0 1
ENSG00000228423 5 2 2 3 1 3 1 2 0 2 0 0 2 0 6 8 2 1
ENSG00000286448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162496 21073 22743 17867 18679 17778 21841 20505 17895 17394 14332 18356 15513 36846 35589 58742 38027 42424 68589
ENSG00000237365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
ENSG00000131686 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 4
ENSG00000229305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284703 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSG00000226457 6 4 2 0 0 2 0 5 2 0 2 2 2 2 2 3 4 2
ENSG00000162494 0 6 2 2 4 0 0 0 0 0 0 0 6 6 0 34 24 22
ENSG00000173614 4013 3761 3747 3192 2990 3802 3286 3381 3354 2531 3273 2979 2132 1924 2764 1169 2167 2197
ENSG00000248527 70848 59780 63241 59351 57945 70856 54528 60957 57583 63028 73934 60455 44301 67265 60202 8193 91499 16919
ENSG00000237728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000215720 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000279804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116273 2458 2337 2386 3474 3437 4232 2160 2423 2459 3257 3638 2785 5135 4340 6957 5095 4861 7064
ENSG00000241326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000285701 0 0 0 0 1 4 0 0 2 0 4 6 2 0 0 2 0 0
ENSG00000233623 11 12 2 6 4 8 2 2 6 2 8 1 14 7 8 6 8 0
ENSG00000162592 1272 917 951 1800 1666 1880 698 1051 1181 2279 2593 2367 514 663 905 311 133 314
ENSG00000116254 44 36 41 38 43 50 25 38 59 36 28 14 405 18 408 340 261 319
ENSG00000049245 10789 11119 9662 8125 7342 10100 9768 9030 9222 7394 9145 9168 5921 5998 7895 5268 8944 9258
ENSG00000179743 693 706 644 678 672 829 452 358 308 460 513 419 293 416 336 387 770 502
ENSG00000233645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000234064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204624 8 10 8 46 21 31 6 26 32 67 87 56 94 45 105 76 87 136
ENSG00000284708 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 0 0
ENSG00000171603 57337 44417 54697 74195 73577 85422 28110 43903 41704 79864 93934 67369 30981 43712 43772 28069 27594 42517
ENSG00000280113 0 0 0 2 0 0 0 0 0 0 0 2 2 1 0 0 2 0
ENSG00000142606 8 4 2 0 6 9 2 4 4 0 2 4 52 18 94 16 22 28
ENSG00000235146 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 0 0 2
ENSG00000177674 3668 3459 3108 4215 4093 4825 4055 4537 3925 10602 11833 8982 3013 4339 4665 2711 6035 4722
ENSG00000162572 525 444 405 633 654 659 152 312 253 634 754 695 206 154 240 622 522 656
ENSG00000171608 21214 15460 20413 11684 11901 13648 7945 13129 12832 37001 40162 26560 18407 21690 21977 8946 3933 12189
ENSG00000225931 6 6 3 18 5 13 11 14 25 10 10 15 270 27 324 96 70 87
ENSG00000236601 0 2 2 0 8 4 4 6 0 2 0 4 2 6 4 12 24 28
ENSG00000171729 14393 14443 12552 10415 10098 11609 8689 7988 7758 6101 7733 6625 21957 14754 30853 21238 30579 39513
ENSG00000228150 40 51 21 24 29 37 19 17 33 26 32 18 32 35 32 24 48 26
ENSG00000175262 1077 1108 870 1304 1245 1452 67 112 99 726 774 634 45 42 86 244 219 388
ENSG00000279457 751 658 570 578 524 598 641 765 772 645 864 806 684 707 923 1008 1055 1370
ENSG00000162571 0 0 0 0 3 10 0 0 0 0 0 0 0 0 2 0 0 2
ENSG00000231181 124 44 65 83 60 84 92 155 99 117 133 126 39 63 37 41 46 78
ENSG00000238173 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSG00000158109 12512 12036 11346 12697 11988 14608 6169 6144 5969 8701 10792 7815 6547 5388 9089 6077 9208 11332
ENSG00000229393 2 0 2 2 1 8 1 0 0 2 4 3 12 0 6 1 9 7
ENSG00000269978 15 30 28 24 45 30 36 59 31 44 58 57 74 35 41 17 35 37
ENSG00000037637 9922 8152 9768 7593 7188 8692 6109 7867 7855 8005 10105 8087 13748 10768 18024 11219 11417 16494
ENSG00000184163 352 360 247 226 240 147 324 287 282 201 182 160 765 252 1005 1045 830 1008
ENSG00000287586 357 284 319 299 272 301 26 26 36 210 251 129 4 0 0 0 0 0
ENSG00000159423 3044 2688 2642 2948 2982 3316 2510 2992 2856 6962 8005 5578 748 1189 902 398 872 703
ENSG00000142599 11898 6983 11062 12454 12135 14394 3122 6826 7388 7468 9489 7731 3708 3788 4734 5181 3233 5737
ENSG00000227169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000283356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011021 9740 6086 9355 7564 6834 8824 3385 6478 6215 5558 6288 5696 12966 6740 15000 11286 7616 9777
ENSG00000272482 879 595 745 437 408 550 248 438 384 146 165 154 637 817 648 1274 1081 1766
ENSG00000284747 468 280 407 309 253 330 351 491 510 450 495 587 299 206 318 120 147 187
ENSG00000215912 105 72 126 144 135 158 34 44 50 90 120 106 110 46 156 207 220 229
ENSG00000120952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000243073 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000142615 0 0 2 0 2 0 0 0 2 2 0 0 17 3 11 6 2 5
ENSG00000215704 1 0 0 3 0 0 0 2 0 0 0 6 39 4 19 29 8 15
ENSG00000065526 34845 16074 34349 29185 28403 33344 14231 43632 45306 15807 23943 31217 32584 26938 34088 35685 18660 32027
ENSG00000175756 12187 15167 10606 9600 10309 10857 16595 11354 10983 19906 21194 15027 12545 13470 18565 7251 19896 19758
ENSG00000229484 311 123 226 185 200 197 57 65 59 64 78 87 73 29 69 63 43 52
ENSG00000157916 28220 30007 25158 26078 24536 29362 28298 25375 23983 30295 35113 29526 23142 28549 31211 22214 33813 34993
ENSG00000157881 4584 3712 4435 4136 4162 4765 3785 4865 4629 5268 6026 4568 2896 3752 4443 2773 4195 4387
ENSG00000116213 8282 7736 7605 7590 7196 8530 5931 6266 6376 8849 10039 7711 4186 4664 5927 4228 6159 7117
ENSG00000283611 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
ENSG00000238290 0 0 2 0 0 2 0 0 0 0 0 0 5 2 0 4 0 2
ENSG00000225387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000127463 25907 20513 24261 22173 21445 25199 18976 25152 24638 36468 44569 32502 7949 10909 11300 7404 14441 11119
ENSG00000048707 27966 16984 28775 23618 22225 27558 7387 18048 18109 7368 11365 14238 15279 7036 16353 12928 7723 12960
ENSG00000158748 16 2 4 2 6 0 4 14 8 16 72 18 82 14 124 92 46 122
ENSG00000235643 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 1 0 0
ENSG00000225196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000130762 773 692 728 888 808 974 417 582 513 811 705 519 668 586 1191 842 1341 1254
ENSG00000187144 60 91 63 45 100 38 107 55 27 150 192 72 129 86 80 57 103 50
ENSG00000162444 85 94 75 274 251 334 30 34 30 52 102 67 29 4 57 7 7 26
ENSG00000279169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000279625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000180758 903 841 878 826 650 852 1989 1877 1778 1380 1587 1279 8756 10092 13254 10698 7394 15409
ENSG00000231219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000229010 4 6 0 0 8 6 0 0 2 0 0 0 0 0 10 0 0 0
ENSG00000184677 18265 11407 17445 15043 13810 16845 7718 15443 15632 12660 15855 13790 7020 13944 8374 7919 7476 9166
ENSG00000230679 19 19 19 10 16 10 2 20 14 15 8 2 8 19 8 8 9 15
ENSG00000270136 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0
ENSG00000132879 3259 3530 2807 3742 3548 4173 3443 3061 2939 4396 5367 4542 3220 5392 4851 4319 4206 6713
ENSG00000187545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
