R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000032538 0 0 4 3 0 2 0 2 0 0 4 0 0 0 0 0 0 0
ENSBTAG00000021899 278 303 272 566 480 456 374 354 336 809 757 605 302 234 341 668 752 1075
ENSBTAG00000015212 4221 4588 4124 6685 6389 5894 5726 4745 4348 7709 7515 6868 4265 3711 4497 6453 7749 8924
ENSBTAG00000044001 3807 3599 3541 4601 3714 2578 2844 3818 2630 3338 1685 1733 5201 4576 5131 4090 4300 3008
ENSBTAG00000021490 3419 3428 3089 2540 2643 2308 5209 4670 3708 3180 3231 2611 4767 4086 4595 2507 3013 3091
ENSBTAG00000036372 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000049984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000055241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001511 5376 5535 5052 6347 5997 5286 6102 5478 5060 8531 7214 7141 4633 4323 4948 6365 7343 9070
ENSBTAG00000037547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000054023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000049136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000043993 58 59 57 54 66 67 54 40 45 108 135 77 40 44 57 75 79 125
ENSBTAG00000003179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000003064 18139 17851 16265 22051 21430 18946 9276 13773 8224 19680 17726 17380 18448 16044 19242 21845 23208 23450
ENSBTAG00000017312 4 8 6 0 6 12 4 4 0 2 6 4 0 2 6 6 8 10
ENSBTAG00000021491 18424 19108 17924 19893 20048 18793 26369 21755 19630 22551 24101 19645 21198 18683 21886 19681 22806 28292
ENSBTAG00000032265 119 75 207 2087 4328 2108 3274 2459 3041 18629 19690 15642 2313 1298 1650 8017 9234 9723
ENSBTAG00000003063 5369 4941 4546 5921 5623 4524 4152 4603 3566 5335 3640 3547 4383 3885 4707 5878 6522 5566
ENSBTAG00000012467 10 25 19 14 15 20 23 26 48 32 17 8 16 8 18 20 18 17
ENSBTAG00000014153 2711 2669 2356 3168 2562 2399 3148 2643 2483 3697 3163 2788 3168 2612 3228 3566 3935 4348
ENSBTAG00000000160 6914 7376 6486 5456 5466 4984 6020 4514 4804 4783 4367 4113 5630 5119 5420 3936 4911 6125
ENSBTAG00000012706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000011645 16459 18116 16301 16277 18065 16721 29755 22926 20667 21438 27126 22888 22420 19397 21946 16465 19690 27255
ENSBTAG00000035493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSBTAG00000003059 12050 13138 12027 12901 12906 12128 15201 13372 11568 12842 14759 12556 12195 10711 11926 10239 12381 15337
ENSBTAG00000010357 760 722 739 696 615 636 315 272 309 220 236 155 245 204 164 172 180 188
ENSBTAG00000017310 207 207 317 448 410 349 705 647 578 1575 1459 1324 405 354 494 844 829 1172
ENSBTAG00000003134 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0
ENSBTAG00000045003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000006872 0 2 12 0 2 2 4 0 0 2 0 4 4 2 6 4 8 0
ENSBTAG00000052213 0 0 2 0 0 0 0 2 0 3 0 0 0 4 0 4 0 0
ENSBTAG00000014727 9731 10739 9882 10679 10732 9617 9374 10115 7616 11012 11098 9797 12352 10596 11859 9902 11605 14167
ENSBTAG00000014724 53050 58112 49526 70512 70430 67025 42877 53612 34246 79018 79161 73013 82256 69053 84223 78712 86956 104038
ENSBTAG00000042702 70 112 64 82 90 59 99 141 86 92 85 52 132 107 148 78 67 67
ENSBTAG00000042475 87 164 80 72 73 85 71 77 78 77 54 85 77 83 96 57 99 74
ENSBTAG00000044788 60 58 37 37 35 27 34 57 41 35 24 33 61 81 71 36 43 38
ENSBTAG00000050812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000044311 198 132 135 169 194 126 174 230 125 200 157 132 243 239 245 197 197 150
ENSBTAG00000011437 16783 16806 15197 15712 16386 13937 24160 20556 17421 20047 19414 18203 16849 14389 16309 15489 18594 21545
ENSBTAG00000052654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000012412 4979 5127 4930 4543 4701 3572 8672 7681 6344 5156 4120 3734 7618 6336 7363 3817 4893 4958
ENSBTAG00000023718 2 0 0 2 1 4 0 0 1 0 0 4 0 0 0 0 0 0
ENSBTAG00000016619 5745 6076 5237 6157 6835 5776 7026 6864 5240 8107 8770 7513 7229 6389 7387 6556 8213 9795
ENSBTAG00000005122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000017531 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
ENSBTAG00000000522 0 0 0 0 2 0 2 4 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000003151 21332 22677 19494 18761 19374 18479 21135 22005 17049 18611 20250 17528 24109 19995 24282 17021 20095 24252
ENSBTAG00000017407 799 835 764 1211 1242 1095 1274 1040 888 1119 1251 1215 1087 938 1088 1263 1421 1919
ENSBTAG00000003143 4662 4899 4427 4735 4572 3985 5334 4512 3854 4557 4155 3526 4505 4049 4733 4068 4421 4910
ENSBTAG00000003140 7 3 2 10 12 4 7 1 9 17 2 10 1 0 5 6 20 17
ENSBTAG00000017418 13452 13265 11876 12573 12701 11015 17621 16557 13344 11944 11904 10398 16415 13697 16246 11466 13579 15039
ENSBTAG00000018186 12796 12174 11665 12681 11965 9571 18142 15125 13530 13780 10013 9935 14602 12198 14265 12353 14115 13982
ENSBTAG00000018189 46399 51277 47022 36589 39313 35930 50263 39281 37840 28807 37861 30285 39450 32713 38434 21741 25843 36485
ENSBTAG00000000524 22788 24659 22935 17327 18955 17069 27456 22145 20038 25942 32798 27976 19753 17202 19480 17490 22451 30603
ENSBTAG00000020762 348 318 290 526 417 330 544 516 404 408 250 304 274 184 273 239 257 304
ENSBTAG00000003981 8828 9128 8207 8763 9221 8129 14070 11621 10141 10587 12076 10629 11063 9185 10047 7957 10034 13033
ENSBTAG00000018855 11368 11325 10264 12997 11860 10651 13214 13072 10619 12610 10502 10188 13515 11656 13478 12823 15069 15510
ENSBTAG00000020456 9059 9222 8308 10212 9933 8396 15793 12852 11958 12114 10436 9193 10768 9437 11550 9777 11556 11572
ENSBTAG00000018854 27491 31243 27907 33017 35760 33217 28615 28692 23875 37499 43745 37306 29643 25858 30642 31491 37343 49540
ENSBTAG00000007100 18437 18157 17353 20105 18549 15404 22121 20428 17806 19130 14545 13765 19457 16826 19778 19100 20593 20224
ENSBTAG00000051337 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0
ENSBTAG00000007105 6365 6551 5983 5210 5256 4542 10848 9611 7742 6462 6042 5657 10080 8279 9209 4874 6094 7109
ENSBTAG00000007106 6053 6572 5527 7629 8001 7027 7034 5963 5882 9318 9870 8718 5247 4551 5093 7540 8904 11544
ENSBTAG00000005091 0 0 0 0 4 0 0 0 1 2 0 0 0 0 0 2 0 0
ENSBTAG00000014880 21195 21681 21386 24780 23503 19500 42289 33918 32862 34362 27538 27242 31040 26352 29819 23188 26528 31369
ENSBTAG00000014915 3347 3192 3099 2308 2289 1919 1106 962 774 1051 953 669 811 582 670 918 963 972
ENSBTAG00000014882 414 486 515 299 252 286 740 692 484 366 417 301 888 751 896 323 374 389
ENSBTAG00000011305 0 0 0 3 4 8 0 5 2 0 0 3 4 0 2 4 5 4
