Source	Target	interaction	qval	pval	minus_log10_qval	n_pathways	pathways
IL1A	IL1RAP	IL1A_IL1RAP	1.07048694846705e-59	7.22029320080418e-61	58.9704186233189	4	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK
IL33	IL1RAP	IL33_IL1RAP	1.29624755680754e-59	9.12314995993575e-61	58.8873120491688	4	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK
IL1B	IL1RAP	IL1B_IL1RAP	4.90433380447867e-58	3.59555264257967e-59	57.3094199780269	4	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK
UBB	MET	UBB_MET	2.00897451046671e-54	1.5906836299883e-55	53.6970255734727	2	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_MET_PROMOTES_CELL_MOTILITY
L1CAM	ITGB3	L1CAM_ITGB3	8.34547827958994e-53	6.85259213573367e-54	52.0785487688428	2	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
VEGFA	ITGB3	VEGFA_ITGB3	2.26098085048859e-52	1.92282828927182e-53	51.6457031159219	2	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
TNF	TNFRSF1B	TNF_TNFRSF1B	4.86057837191345e-37	8.69487626647274e-38	36.3133120499177	4	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY; REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING; REACTOME_INTERLEUKIN_10_SIGNALING; REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS
INHBA	ACVR1C	INHBA_ACVR1C	2.29423084436873e-32	6.72794969023088e-33	31.639362885741	1	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
TNFSF9	TNFRSF9	TNFSF9_TNFRSF9	4.19463322059629e-32	1.25469967302294e-32	31.3773060079545	1	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY
PTGS2	CAV1	PTGS2_CAV1	5.53396782044102e-12	3.86241742306441e-12	11.2569633705737	1	REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY
