Source	Target	interaction	qval	pval	minus_log10_qval	comparisons	n_comparisons	n_pathways	pathways
L1CAM	ITGB3	L1CAM_ITGB3	3.1384519640982e-69	1.91548711423834e-70	68.5032845141016	Infected_vs_Control; M_bovis_vs_Lineage_5	2	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
TGM2	ITGB3	TGM2_ITGB3	5.6178335325027e-69	3.5605987177834e-70	68.2504311339466	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
MFGE8	ITGB3	MFGE8_ITGB3	1.37366296613759e-68	9.02877066944897e-70	67.8621198101452	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
CXCL10	SDC4	CXCL10_SDC4	5.55070193711855e-68	2.27888056069383e-69	67.2556520928879	Infected_vs_Control	1	1	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
VWF	ITGB3	VWF_ITGB3	1.1764777177259e-66	8.28505435018241e-68	65.9294162938686	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
SPP1	ITGB3	SPP1_ITGB3	1.05449877337292e-65	7.92111754646324e-67	64.9769539211096	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
TNFSF10	TNFRSF10A	TNFSF10_TNFRSF10A	6.07848038325401e-65	3.56509113387332e-66	64.216204980539	Infected_vs_Control	1	1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53
TNFSF10	TNFRSF10D	TNFSF10_TNFRSF10D	9.69673888652345e-61	5.97159872777104e-62	60.0133742989004	Infected_vs_Control	1	1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53
IL36G	IL1RAP	IL36G_IL1RAP	9.24665579709881e-60	5.96558438522504e-61	59.0340153085011	Infected_vs_Control	1	2	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING
IL1A	IL1RAP	IL1A_IL1RAP	1.07048694846705e-59	7.22029320080418e-61	58.9704186233189	Infected_vs_Control	1	2	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING
IL33	IL1RAP	IL33_IL1RAP	1.29624755680754e-59	9.12314995993575e-61	58.8873120491688	Infected_vs_Control	1	2	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING
IL1B	IL1RAP	IL1B_IL1RAP	4.90433380447867e-58	3.59555264257967e-59	57.3094199780269	Infected_vs_Control	1	2	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING
C3	ITGAX	C3_ITGAX	3.37255293867425e-57	3.00838055562492e-58	56.4720412245193	M_bovis_vs_Lineage_5	1	1	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING
ICAM1	ITGAX	ICAM1_ITGAX	5.39792277698366e-57	4.94176028878786e-58	56.2677733327787	M_bovis_vs_Lineage_5	1	1	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING
APOE	LDLR	APOE_LDLR	5.94456111085246e-56	5.58174752192719e-57	55.2258802039841	M_bovis_vs_Lineage_5	1	1	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS
UBB	MET	UBB_MET	2.00897451046671e-54	1.5906836299883e-55	53.6970255734727	Infected_vs_Control	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
TNF	TNFRSF1B	TNF_TNFRSF1B	4.86057837191345e-37	8.69487626647274e-38	36.3133120499177	Infected_vs_Control	1	1	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY
S100A8	LY96	S100A8_LY96	7.43772028075022e-13	3.31015656186207e-14	12.1285601587024	Day3_vs_Day1	1	20	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION; REACTOME_TOLL_LIKE_RECEPTOR_CASCADES; REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE; REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY; REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND; REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE; REACTOME_PROGRAMMED_CELL_DEATH; REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_APOPTOSIS; REACTOME_HEME_SIGNALING; REACTOME_RSV_HOST_INTERACTIONS; REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION; REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX; REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1; REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE; REACTOME_DISEASES_OF_IMMUNE_SYSTEM; REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH; REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND; REACTOME_REGULATION_OF_TBK1_IKK_IKBKE_MEDIATED_ACTIVATION_OF_IRF3_IRF7
S100A9	LY96	S100A9_LY96	7.43772028075022e-13	3.38078194579556e-14	12.1285601587024	Day3_vs_Day1	1	20	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION; REACTOME_TOLL_LIKE_RECEPTOR_CASCADES; REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE; REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY; REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND; REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE; REACTOME_PROGRAMMED_CELL_DEATH; REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_APOPTOSIS; REACTOME_HEME_SIGNALING; REACTOME_RSV_HOST_INTERACTIONS; REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION; REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX; REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1; REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE; REACTOME_DISEASES_OF_IMMUNE_SYSTEM; REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH; REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND; REACTOME_REGULATION_OF_TBK1_IKK_IKBKE_MEDIATED_ACTIVATION_OF_IRF3_IRF7
