Source	Target	interaction	qval	pval	minus_log10_qval	n_pathways	pathways
SPP1	CD44	SPP1_CD44	6.34229085773841e-82	2.23320100624592e-83	81.1977538450881	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
COL5A3	SDC3	COL5A3_SDC3	6.36191335017573e-82	2.38945102354018e-83	81.1964122503177	21	REACTOME_SARS_COV_2_INFECTION; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM; REACTOME_HS_GAG_DEGRADATION; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_DISEASES_OF_GLYCOSYLATION; REACTOME_DISEASES_OF_METABOLISM; REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM; REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS; REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS; REACTOME_HS_GAG_BIOSYNTHESIS; REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2; REACTOME_ATTACHMENT_AND_ENTRY; REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY
TGM2	SDC4	TGM2_SDC4	2.62353579804341e-81	1.1085362526944e-82	80.581113005494	23	REACTOME_SARS_COV_2_INFECTION; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM; REACTOME_HS_GAG_DEGRADATION; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_DISEASES_OF_GLYCOSYLATION; REACTOME_DISEASES_OF_METABOLISM; REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM; REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS; REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS; REACTOME_HS_GAG_BIOSYNTHESIS; REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2; REACTOME_ATTACHMENT_AND_ENTRY; REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
CCL5	SDC4	CCL5_SDC4	7.00311654368835e-81	3.12345573544786e-82	80.1547086461981	23	REACTOME_SARS_COV_2_INFECTION; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM; REACTOME_HS_GAG_DEGRADATION; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_DISEASES_OF_GLYCOSYLATION; REACTOME_DISEASES_OF_METABOLISM; REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM; REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS; REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS; REACTOME_HS_GAG_BIOSYNTHESIS; REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2; REACTOME_ATTACHMENT_AND_ENTRY; REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
FYN	CD86	FYN_CD86	8.36653130436087e-79	4.51714131456103e-80	78.0774545596424	9	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_PI3K_AKT_SIGNALING_IN_CANCER; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK; REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY; REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER; REACTOME_CD28_CO_STIMULATION; REACTOME_CD28_DEPENDENT_VAV1_PATHWAY; REACTOME_CTLA4_INHIBITORY_SIGNALING; REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING
VEGFA	ITGB3	VEGFA_ITGB3	1.93134965342721e-70	1.13342115811456e-71	69.7141390940055	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
L1CAM	ITGB3	L1CAM_ITGB3	3.1384519640982e-69	1.91548711423834e-70	68.5032845141016	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
TGM2	ITGB3	TGM2_ITGB3	5.6178335325027e-69	3.5605987177834e-70	68.2504311339466	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
MFGE8	ITGB3	MFGE8_ITGB3	1.37366296613759e-68	9.02877066944897e-70	67.8621198101452	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
VWF	ITGB3	VWF_ITGB3	1.1764777177259e-66	8.28505435018241e-68	65.9294162938686	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
