Source	Target	interaction	qval	pval	minus_log10_qval	n_pathways	pathways
SPP1	ITGB3	SPP1_ITGB3	1.05449877337292e-65	7.92111754646324e-67	64.9769539211096	26	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_L1CAM_INTERACTIONS; REACTOME_ONCOGENIC_MAPK_SIGNALING; REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS; REACTOME_SIGNALING_BY_VEGF; REACTOME_MAP2K_AND_MAPK_ACTIVATION; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_SIGNAL_TRANSDUCTION_BY_L1; REACTOME_INTEGRIN_SIGNALING; REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_PECAM1_INTERACTIONS; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_ELASTIC_FIBRE_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES; REACTOME_ECM_PROTEOGLYCANS; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
C3	ITGAX	C3_ITGAX	3.37255293867425e-57	3.00838055562492e-58	56.4720412245193	5	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_ECM_PROTEOGLYCANS
ICAM1	ITGAX	ICAM1_ITGAX	5.39792277698366e-57	4.94176028878786e-58	56.2677733327787	5	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_ECM_PROTEOGLYCANS
APOE	LDLR	APOE_LDLR	5.94456111085246e-56	5.58174752192719e-57	55.2258802039841	8	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS; REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS; REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE; REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE; REACTOME_LDL_CLEARANCE; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS
ADM	GPR84	ADM_GPR84	5.01075218641423e-52	4.94017821195769e-53	51.3000970753525	1	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS
WNT2B	FZD4	WNT2B_FZD4	9.66097660014464e-49	1.04320404602501e-49	48.014978969794	13	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS; REACTOME_SIGNALING_BY_WNT; REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT; REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_PCP_CE_PATHWAY; REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4; REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS; REACTOME_CA2_PATHWAY; REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION; REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS; REACTOME_SIGNALING_BY_WNT_IN_CANCER; REACTOME_SIGNALING_BY_RNF43_MUTANTS
HBEGF	CD9	HBEGF_CD9	2.58984047843065e-47	3.03971887139748e-48	46.5867269855214	5	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION; REACTOME_BACTERIAL_INFECTION_PATHWAYS; REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2; REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS; REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN
ADM2	GPR84	ADM2_GPR84	9.34594897857259e-47	1.22857545258231e-47	46.0293765942067	1	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS
INHBA	ACVR1C	INHBA_ACVR1C	2.83460710100288e-44	4.65780509554464e-45	43.5475071292548	4	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_NODAL; REACTOME_SIGNALING_BY_ACTIVIN; REACTOME_REGULATION_OF_SIGNALING_BY_NODAL
SEMA3F	NRP2	SEMA3F_NRP2	3.36696861875791e-35	7.66657173754736e-36	34.4727609313588	2	REACTOME_L1CAM_INTERACTIONS; REACTOME_SIGNALING_BY_VEGF
VEGFA	NRP2	VEGFA_NRP2	1.07569844638743e-34	2.47461144943587e-35	33.9683094586184	2	REACTOME_L1CAM_INTERACTIONS; REACTOME_SIGNALING_BY_VEGF
TNFSF14	TNFRSF14	TNFSF14_TNFRSF14	3.4633207227424e-32	8.12986085150799e-33	31.4605072885061	1	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY
IL1RN	IL1R1	IL1RN_IL1R1	6.34212636316022e-31	1.51853729822146e-31	30.1977651091591	3	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_INTERLEUKIN_10_SIGNALING
IL1A	IL1R1	IL1A_IL1R1	8.80849941621755e-31	2.1297545536864e-31	30.0550980701082	3	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_INTERLEUKIN_10_SIGNALING
VEGFB	FLT1	VEGFB_FLT1	5.14262806585885e-29	1.33998055237167e-29	28.2888148843482	1	REACTOME_SIGNALING_BY_VEGF
VEGFA	FLT1	VEGFA_FLT1	7.03425973307075e-29	1.88240753420203e-29	28.1527815998296	1	REACTOME_SIGNALING_BY_VEGF
IL1B	IL1R1	IL1B_IL1R1	4.0812782611376e-28	1.13049491740431e-28	27.3892037940636	3	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_INTERLEUKIN_10_SIGNALING
APOE	VLDLR	APOE_VLDLR	3.59194450109941e-25	1.12986047687165e-25	24.4446703822087	3	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE; REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE; REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION
APOC1	VLDLR	APOC1_VLDLR	9.39099435202544e-22	3.4389556782065e-22	21.0272884206482	3	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE; REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE; REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION
TNFSF9	TNFRSF9	TNFSF9_TNFRSF9	7.63956923576977e-21	2.99485460651068e-21	20.116931128833	1	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY
